Period,averageRating
1888-1915,4.9
1888-1915,6.1
1888-1915,4.7
1888-1915,4.3
1888-1915,6.0
1888-1915,5.0
1888-1915,6.0
1888-1915,6.1
1888-1915,5.6
1888-1915,7.3
1888-1915,7.5
1888-1915,6.4
1888-1915,7.6
1888-1915,5.1
1888-1915,7.8
1888-1915,6.3
1888-1915,5.1
1888-1915,5.2
1888-1915,3.4
1888-1915,6.9
1888-1915,5.6
1888-1915,7.2
1888-1915,6.8
1888-1915,6.5
1888-1915,4.1
1888-1915,5.2
1888-1915,4.8
1888-1915,8.8
1888-1915,5.7
1888-1915,6.0
1888-1915,7.1
1888-1915,6.7
1888-1915,5.4
1888-1915,5.6
1888-1915,5.6
1888-1915,6.1
1888-1915,7.2
1888-1915,5.3
1888-1915,6.5
1888-1915,5.5
1888-1915,5.6
1888-1915,2.0
1916-1943,4.5
1888-1915,5.2
1888-1915,5.4
1888-1915,7.1
1916-1943,4.3
1916-1943,3.6
1888-1915,5.4
1916-1943,6.7
1888-1915,6.2
1888-1915,7.4
1888-1915,7.7
1888-1915,4.2
1888-1915,8.0
1888-1915,8.3
1888-1915,6.6
1888-1915,8.0
1888-1915,4.5
1888-1915,5.4
1888-1915,6.1
1888-1915,6.1
1888-1915,6.5
1888-1915,6.5
1888-1915,5.6
1888-1915,5.4
1888-1915,7.0
1916-1943,6.2
1888-1915,6.5
1888-1915,7.0
1888-1915,5.5
1888-1915,7.0
1888-1915,1.9
1888-1915,5.9
1888-1915,5.3
1888-1915,5.8
1888-1915,4.6
1888-1915,5.2
1888-1915,5.7
1916-1943,6.6
1888-1915,6.6
1888-1915,5.0
1916-1943,7.5
1888-1915,7.0
1888-1915,4.7
1888-1915,5.0
1888-1915,5.7
1888-1915,1.6
1888-1915,5.4
1888-1915,6.7
1916-1943,6.2
1888-1915,6.0
1888-1915,6.0
1888-1915,6.4
1888-1915,5.5
1888-1915,5.0
1888-1915,6.7
1888-1915,6.3
1888-1915,5.3
1888-1915,5.8
1888-1915,7.4
1888-1915,7.0
1888-1915,6.8
1888-1915,7.4
1888-1915,5.7
1888-1915,5.3
1888-1915,6.4
1888-1915,5.1
1888-1915,6.9
1916-1943,6.7
1888-1915,5.3
1888-1915,6.8
1888-1915,7.0
1888-1915,6.6
1888-1915,7.0
1888-1915,5.7
1888-1915,8.4
1888-1915,5.5
1888-1915,7.0
1888-1915,5.8
1888-1915,5.9
1888-1915,5.8
1888-1915,5.9
1916-1943,4.7
1888-1915,7.2
1888-1915,5.3
1888-1915,5.0
1888-1915,8.3
1888-1915,5.4
1888-1915,6.1
1888-1915,2.8
1888-1915,6.0
1888-1915,5.8
1888-1915,2.8
1888-1915,5.0
1916-1943,6.1
1888-1915,7.3
1888-1915,5.7
1888-1915,2.7
1888-1915,7.0
1888-1915,7.4
1888-1915,7.8
1888-1915,5.3
1888-1915,6.3
1888-1915,2.6
1888-1915,2.2
1888-1915,6.6
1888-1915,7.3
1888-1915,8.1
1888-1915,5.2
1888-1915,5.8
1888-1915,5.4
1916-1943,6.1
1916-1943,4.8
1916-1943,5.0
1916-1943,4.4
1916-1943,4.5
1916-1943,6.1
1916-1943,7.5
1916-1943,6.0
1916-1943,3.8
1916-1943,6.8
1916-1943,7.8
1916-1943,6.0
1916-1943,6.5
1888-1915,6.4
1916-1943,5.7
1916-1943,6.6
1916-1943,7.2
1916-1943,5.9
1916-1943,5.7
1916-1943,3.6
1916-1943,5.3
1916-1943,6.2
1916-1943,5.7
1916-1943,7.4
1916-1943,4.0
1916-1943,7.1
1916-1943,8.4
1916-1943,6.0
1916-1943,6.2
1916-1943,5.4
1916-1943,4.5
1916-1943,6.5
1916-1943,7.1
1916-1943,6.9
1916-1943,5.3
1916-1943,6.1
1888-1915,5.9
1916-1943,7.9
1916-1943,6.4
1916-1943,6.3
1916-1943,5.4
1916-1943,6.9
1916-1943,5.7
1916-1943,5.5
1916-1943,5.0
1916-1943,7.5
1916-1943,5.9
1916-1943,6.5
1916-1943,6.1
1916-1943,3.6
1916-1943,6.6
1916-1943,4.5
1916-1943,6.4
1916-1943,6.2
1916-1943,5.5
1916-1943,5.2
1916-1943,6.6
1916-1943,6.2
1916-1943,7.2
1916-1943,6.5
1916-1943,5.7
1916-1943,6.5
1916-1943,5.1
1916-1943,5.5
1916-1943,3.6
1916-1943,5.2
1916-1943,5.0
1916-1943,6.4
1916-1943,4.6
1916-1943,6.2
1916-1943,5.9
1916-1943,5.1
1916-1943,5.9
1916-1943,5.7
1916-1943,4.8
1916-1943,6.0
1916-1943,4.7
1916-1943,6.0
1916-1943,5.2
1916-1943,6.2
1916-1943,5.9
1916-1943,6.6
1916-1943,6.4
1916-1943,5.8
1916-1943,6.7
1916-1943,5.9
1916-1943,7.3
1916-1943,6.0
1916-1943,6.0
1916-1943,6.7
1916-1943,5.9
1916-1943,6.1
1916-1943,5.9
1916-1943,5.9
1916-1943,6.0
1916-1943,2.3
1916-1943,5.5
1916-1943,6.5
1916-1943,6.1
1916-1943,5.4
1916-1943,6.5
1916-1943,5.4
1916-1943,7.7
1916-1943,6.2
1916-1943,6.4
1916-1943,7.0
1916-1943,7.2
1916-1943,4.5
1916-1943,5.5
1916-1943,5.7
1916-1943,3.9
1916-1943,6.0
1916-1943,7.8
1916-1943,5.7
1916-1943,6.0
1916-1943,6.8
1888-1915,4.0
1916-1943,6.2
1916-1943,7.7
1916-1943,4.6
1916-1943,4.2
1916-1943,4.3
1916-1943,4.6
1916-1943,6.0
1916-1943,6.8
1916-1943,6.6
1916-1943,4.6
1916-1943,6.4
1916-1943,6.0
1916-1943,4.4
1916-1943,4.7
1916-1943,8.4
1916-1943,7.7
1916-1943,6.2
1916-1943,6.6
1916-1943,6.2
1916-1943,5.9
1888-1915,5.2
1916-1943,7.9
1916-1943,7.1
1916-1943,7.3
1916-1943,6.0
1916-1943,6.9
1916-1943,4.7
1916-1943,6.6
1916-1943,4.8
1916-1943,6.0
1916-1943,8.2
1916-1943,6.0
1916-1943,9.0
1916-1943,5.6
1916-1943,4.9
1916-1943,7.8
1916-1943,7.8
1916-1943,6.0
1916-1943,6.4
1916-1943,3.6
1916-1943,7.2
1916-1943,5.3
1916-1943,5.4
1916-1943,4.5
1916-1943,6.2
1916-1943,4.9
1916-1943,6.8
1916-1943,7.6
1888-1915,6.3
1916-1943,5.4
1916-1943,5.5
1916-1943,5.6
1916-1943,5.4
1916-1943,5.6
1916-1943,3.5
1916-1943,8.0
1916-1943,6.3
1916-1943,6.9
1916-1943,5.2
1916-1943,6.3
1916-1943,5.1
1916-1943,5.8
1916-1943,6.4
1888-1915,2.9
1916-1943,5.7
1916-1943,4.6
1916-1943,6.8
1916-1943,6.8
1916-1943,5.2
1916-1943,5.8
1916-1943,6.2
1916-1943,7.3
1916-1943,6.1
1916-1943,6.6
1916-1943,6.6
1916-1943,5.6
1916-1943,6.6
1888-1915,5.6
1916-1943,6.4
1916-1943,4.4
1916-1943,5.5
1916-1943,6.5
1916-1943,5.4
1916-1943,5.4
1916-1943,5.7
1916-1943,5.0
1916-1943,6.0
1916-1943,6.3
1916-1943,5.0
1916-1943,6.0
1916-1943,5.8
1916-1943,6.8
1916-1943,5.3
1916-1943,6.5
1916-1943,5.1
1916-1943,7.8
1916-1943,5.8
1916-1943,7.1
1916-1943,7.2
1916-1943,6.9
1916-1943,5.5
1916-1943,5.3
1916-1943,6.6
1916-1943,5.2
1916-1943,5.9
1916-1943,5.1
1916-1943,5.0
1916-1943,5.2
1916-1943,6.4
1916-1943,7.1
1916-1943,6.1
1916-1943,3.9
1916-1943,6.9
1916-1943,5.9
1916-1943,6.2
1916-1943,5.4
1916-1943,7.1
1916-1943,6.8
1916-1943,6.6
1916-1943,6.1
1916-1943,7.0
1916-1943,4.5
1916-1943,5.5
1916-1943,5.8
1916-1943,5.9
1916-1943,4.8
1916-1943,7.3
1916-1943,7.2
1916-1943,6.2
1916-1943,5.2
1916-1943,7.4
1916-1943,6.3
1916-1943,6.5
1916-1943,7.3
1916-1943,6.3
1916-1943,6.6
1916-1943,5.2
1916-1943,6.3
1916-1943,6.1
1916-1943,6.8
1916-1943,8.1
1916-1943,7.6
1916-1943,6.1
1916-1943,3.9
1916-1943,5.7
1916-1943,6.5
1916-1943,7.0
1916-1943,4.0
1916-1943,6.9
1916-1943,5.7
1916-1943,6.1
1916-1943,5.7
1916-1943,4.8
1916-1943,5.6
1916-1943,4.0
1916-1943,7.8
1916-1943,6.3
1916-1943,5.7
1916-1943,5.5
1916-1943,4.0
1916-1943,5.4
1916-1943,6.9
1916-1943,6.6
1916-1943,5.7
1916-1943,5.2
1916-1943,6.1
1916-1943,5.8
1916-1943,6.4
1916-1943,5.2
1916-1943,6.9
1916-1943,6.4
1916-1943,4.0
1916-1943,4.6
1916-1943,6.4
1916-1943,4.2
1916-1943,6.7
1916-1943,6.1
1916-1943,3.5
1916-1943,3.6
1916-1943,3.3
1916-1943,7.8
1916-1943,6.0
1916-1943,7.8
1916-1943,6.0
1916-1943,6.3
1916-1943,4.3
1916-1943,6.1
1916-1943,7.0
1916-1943,6.7
1916-1943,5.9
1916-1943,6.6
1916-1943,5.9
1916-1943,6.2
1916-1943,5.0
1916-1943,6.0
1916-1943,4.2
1916-1943,6.2
1916-1943,6.0
1916-1943,5.3
1916-1943,4.0
1916-1943,7.8
1916-1943,6.9
1916-1943,5.8
1916-1943,6.6
1916-1943,5.8
1916-1943,5.7
1916-1943,5.5
1916-1943,6.4
1916-1943,5.8
1916-1943,5.0
1916-1943,7.2
1916-1943,7.3
1916-1943,6.2
1916-1943,4.6
1916-1943,8.5
1916-1943,1.9
1916-1943,5.6
1916-1943,6.0
1916-1943,4.2
1916-1943,6.8
1916-1943,4.5
1916-1943,6.4
1916-1943,6.3
1916-1943,6.1
1916-1943,6.9
1916-1943,6.7
1916-1943,4.4
1916-1943,5.3
1916-1943,6.3
1916-1943,5.6
1916-1943,5.9
1916-1943,6.4
1916-1943,5.5
1916-1943,3.7
1916-1943,6.3
1916-1943,6.1
1916-1943,6.3
1916-1943,2.1
1916-1943,5.5
1916-1943,6.1
1916-1943,8.2
1916-1943,4.6
1916-1943,6.7
1916-1943,5.1
1916-1943,5.4
1916-1943,7.9
1916-1943,7.1
1916-1943,6.1
1916-1943,6.1
1916-1943,5.0
1916-1943,4.1
1916-1943,6.0
1916-1943,4.3
1916-1943,6.7
1916-1943,3.8
1916-1943,6.6
1916-1943,5.6
1916-1943,5.3
1916-1943,7.2
1916-1943,7.1
1916-1943,6.7
1916-1943,6.6
1916-1943,6.0
1916-1943,6.3
1916-1943,3.3
1916-1943,3.6
1916-1943,6.1
1916-1943,4.1
1916-1943,5.7
1916-1943,7.3
1916-1943,6.1
1916-1943,3.8
1916-1943,5.9
1916-1943,5.2
1916-1943,5.0
1916-1943,6.1
1916-1943,6.5
1916-1943,5.6
1916-1943,6.3
1916-1943,6.7
1916-1943,5.4
1916-1943,6.3
1916-1943,5.6
1916-1943,6.5
1916-1943,5.7
1916-1943,7.4
1916-1943,7.6
1916-1943,3.9
1916-1943,5.8
1916-1943,6.6
1916-1943,5.4
1916-1943,7.1
1916-1943,6.4
1916-1943,5.4
1916-1943,6.3
1916-1943,6.3
1916-1943,6.2
1916-1943,8.2
1916-1943,6.2
1916-1943,6.1
1916-1943,3.9
1916-1943,4.1
1916-1943,6.5
1916-1943,5.8
1916-1943,4.3
1916-1943,7.0
1916-1943,1.5
1916-1943,2.4
1916-1943,6.0
1916-1943,5.9
1916-1943,5.4
1916-1943,6.2
1916-1943,4.6
1916-1943,5.3
1916-1943,5.5
1916-1943,5.8
1916-1943,6.0
1916-1943,7.0
1916-1943,5.4
1916-1943,5.5
1916-1943,6.0
1916-1943,5.8
1916-1943,6.8
1916-1943,7.2
1916-1943,7.7
1916-1943,6.4
1916-1943,6.9
1916-1943,5.8
1916-1943,5.2
1916-1943,6.8
1916-1943,6.7
1916-1943,6.4
1916-1943,5.7
